Aanval,Techniek,TACHIWAZA,SUWARIWAZA,"HANMI-
HANDACHIWAZA"
,SANKYO (OMOTE – URA),2,,
,YONKYO (OMOTE – URA),2,,
,SHIHONAGE (OMOTE – URA),2,,2
,KOTEGAESHI (OMOTE – URA),2,,2
,UDEGARAMINAGE,2,,
,KOKYUNAGE,2,,
,JIYUWAZA,1,1,1
,KOSHINAGE JIYU,1,,
,,,,
USHIRO RYOKATADORI,IKKYO (OMOTE – URA),2,,
,NIKYO (OMOTE – URA),2,,
,SANKYO (OMOTE – URA),2,,
,YONKYO (OMOTE – URA),2,,
,SHIHONAGE (OMOTE – URA),2,,2
,KOTEGAESHI (OMOTE – URA),2,,2
,UDEGARAMINAGE,2,,
,KOKYUNAGE,2,,
,JIYUWAZA,1,1,1
,UCHIKAITENNAGE,,,1 (KATADORI)
,UCHIKAITEN KATA-KATAME,,,1 (KATADORI)
,KOSHINAGE JIYU,1,,
,,,,
"KATATEDORI USHIRO 
MUNEDAKISHIME",IKKYO (OMOTE – URA),2,,
,NIKYO (OMOTE – URA),2,,
,SANKYO (OMOTE – URA),2,,
,YONKYO (OMOTE – URA),2,,
,SHIHONAGE (OMOTE – URA),3,,2
,KOTEGAESHI (OMOTE – URA),3,,2
,UDEGARAMINAGE,2,,
,KOKYUNAGE,2,,
,JIYUWAZA,1,1,1
,KOSHINAGE JIYU,1,,
,,,,
SHOMENUCHI UCHI-IRIMI-TENKAN,KOKYUNAGE,1,,
,SHIHONAGE (OMOTE – URA),1,,
,UDEGARAMINAGE,1,,
,,,,
FUTARIGAKE FUTARIDORI,JIYUWAZA,1d,,
,,,,
TANTODORI ,JIYUWAZA,1d,,
